review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,2710.1,The Lunch Box,unverified,false,-93.168171220513,44.98231470179,"East side of Cooper St. between Wright & Dan Patch avenues, south of the Home Improvement Building",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3089.2,The Perfect Pickle,unverified,false,-93.171691809615,44.986605695897,West side of Underwood St. at Lee Ave.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3093.1,The Pretzel Factory,unverified,false,-93.170878969231,44.978286593428,West side of Nelson St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3239.1,The Sandwich Stop,unverified,false,-93.172240829487,44.978746233322,West side of Clough St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,6137.1,Three Sisters Concessions,unverified,false,-93.177128282051,44.979453648713,"North side of Judson Ave., outside the Horse Barn",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3792.1,Tiny Tim Donuts,unverified,false,-93.174746265385,44.980944824952,North side of Carnes Ave. between Chambers & Clough streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1511.2,Tom Thumb Donuts,unverified,false,-93.170635573077,44.981201815486,"West side of Cooper St. between Wright & Dan Patch avenues, at Kidway",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,20,1872.1,Andy's Grille,verified,true,-93.1743171,44.979745,South side of Carnes Ave. between Chambers & Nelson streets,1491-1610,75.9,0.0,large_change_from_baseline
medium,20,616.1,Ball Park Cafe,verified,true,-93.1700734,44.9803924,East side of Underwood St. between Dan Patch & Carnes avenues,,121.1,0.0,large_change_from_baseline
medium,20,154.1,Mike's Hamburgers,verified,true,-93.171927,44.9800383,Northeast corner of Carnes Ave. & Nelson St.,1535-2077,139.3,0.0,large_change_from_baseline
low,5,2114.1,3B Fresh Squeezed Lemonade & Foot Long Corn Dogs,unverified,false,-93.174149666026,44.978771392184,West side of Liggett St. between Carnes & Judson avenues,,0.0,,no_independent_verification
low,5,6449.1,About a Foot Long Hot Dog,unverified,false,-93.1738553,44.978449884892,"South side of Judson Ave. between Liggett & Clough streets, in front of the Lee & Rose Warner Coliseum",,0.0,,no_independent_verification
low,5,7388.1,Afro Deli & Grill,unverified,false,-93.169366342308,44.980484014388,"In the Food Building, east wall",,0.0,,no_independent_verification
low,5,792.3,Aldo's Burgers,unverified,false,-93.174896844329,44.978295168621,"In the Lee & Rose Warner Coliseum, west side",,0.0,,no_independent_verification
